时间,操作类型,操作数量,成交价
2018/3/14 10:06,成交,20,18.31
2018/3/14 8:33,成交,50,18.15
2018/3/13 21:47,成交,5,17.92
2018/3/13 21:11,成交,8.634,17.79
2018/3/13 21:11,成交,4.6832,17.78
2018/3/13 21:11,成交,10,17.77
2018/3/13 21:05,成交,10,17.69
2018/3/13 21:05,成交,4.20744,18.39
2018/3/13 21:01,成交,28.2617,18.47
2018/3/13 13:55,成交,10,18.46
2018/3/13 13:55,成交,28,18.45
2018/3/13 13:26,成交,5.624,18.43
2018/3/13 13:25,成交,5,18.44
2018/3/13 13:08,成交,10,18.57
2018/3/13 12:59,成交,20,18.43
2018/3/13 12:52,成交,30,18.36
2018/3/13 12:51,成交,24,18.37
2018/3/13 12:43,成交,20,18.27
2018/3/13 12:26,成交,20,18.31
2018/3/13 12:08,成交,16,18.28
2018/3/13 7:04,成交,20,18.07
2018/3/12 19:51,成交,20,18.91
2018/3/12 17:43,成交,30,19.18
2018/3/12 2:40,成交,20,19.36
2018/3/12 1:48,成交,20,19.05
2018/3/11 22:45,成交,1,18.58
2018/3/11 17:29,成交,10,18
2018/3/11 17:29,成交,8.752,17.99
2018/3/11 13:01,成交,1.48,17.78
2018/3/11 12:53,成交,6.09,17.73
2018/3/11 10:16,成交,6.3526,17.64
2018/3/11 10:10,成交,20,17.65
2018/3/11 9:28,成交,24,17.52
2018/3/11 8:22,成交,50,17.53
2018/3/11 7:47,成交,50,17.71
2018/3/11 7:44,成交,20,17.75
2018/3/11 7:44,成交,20,17.76
2018/3/11 7:34,成交,10,17.78
2018/3/11 7:25,成交,25,17.83
2018/3/11 7:17,成交,20,17.86
2018/3/10 15:49,成交,10,19.3
2018/3/10 14:56,成交,10,19.59
2018/3/10 10:17,成交,10,19.6
2018/3/9 17:50,成交,2,17.34
2018/3/8 18:09,成交,20,22.1
2018/3/7 20:51,成交,20,23.57
